Title,Company,Location,Experience,Salary,Description,Skills,Job Link
GET / Asst. Manager- Civil Maintenance (Retail),DMart,"Mumbai, Jaipur, Bengaluru",0-5 Yrs,3.5-6.5 Lacs PA,"Wash rooms, plumbing should be in good condition all the time . Manager- Civil Maintena...","Finishing, Plastering, Plaster, Waterproofing, Painting, Civil Maintenance, Management, Assistance",https://www.naukri.com/job-listings-get-asst-manager-civil-maintenance-retail-dmart-mumbai-jaipur-bengaluru-0-to-5-years-250225008551
GN - Management Consulting - Life Sciences - Analyst,Accenture,"Mumbai, Gurugram, Bengaluru",0-1 Yrs,Not disclosed,Practice:Across Industry and Functional Groups I Areas of Work:Business Analysis to adv...,"python, power bi, sql, r, aws, management consulting, warranty management, c++",https://www.naukri.com/job-listings-gn-management-consulting-life-sciences-analyst-accenture-solutions-pvt-ltd-mumbai-gurugram-bengaluru-0-to-1-years-250225905649
Customer Support Executive- (Fresher & Exp) -Bangalore,2coms,Navi Mumbai,0-5 Yrs,Not disclosed,Shift: Day shift NTH: 17k + 5k Variable pay+ . Upto 6k incentives. . Shift- Day shiftEx...,"project management, team management, customer relationship, customer service, customer interaction, sales, customer support, excel",https://www.naukri.com/job-listings-customer-support-executive-fresher-exp-bangalore-2coms-navi-mumbai-0-to-5-years-250225011921
Associate (Supply / Field Sales) || Stanza Living,Stanza Living,"Pune, Mumbai (All Areas)",2-7 Yrs,8-10 Lacs PA,"Bachelors degree in Business, Real Estate, Finance, or a related field2+ years of exper...","Property Acquisition, Franchisee Development, Lead Generation, Supply, New Store Opening, Field Work, Land Acquisition, Site Acquisition",https://www.naukri.com/job-listings-associate-supply-field-sales-stanza-living-stanza-living-pune-mumbai-all-areas-2-to-7-years-220125017236
Associate/Senior Associate-IP and Corporate Law,S S Rana & Co,"Mumbai, Hyderabad, Pune, Chennai, Ahmedabad, Bengaluru",3-8 Yrs,Not disclosed,"SKILLS REQUIRED . Should possess excellent analytical, drafting skills and have solutio...","Cyber law, Contract review, Time management, Analytical, Legal, ROC, Cosmetics, Company law",https://www.naukri.com/job-listings-associate-senior-associate-ip-and-corporate-law-s-s-rana-co-mumbai-hyderabad-pune-chennai-ahmedabad-bengaluru-3-to-8-years-250225502927
S&C GN CFO&EV -TAX - Consultant,Accenture,"Mumbai, Pune, Gurugram",2-7 Yrs,Not disclosed,"7 years of work experience preferably in financial areas order to cash, source to pay, ...","presentation skills, vat, power bi, gst, taxation, tds, project management, accounts payable",https://www.naukri.com/job-listings-s-c-gn-cfo-ev-tax-consultant-accenture-solutions-pvt-ltd-mumbai-pune-gurugram-2-to-7-years-240225922450
AI/ML Development,Infogain,"Hybrid - Noida, Pune, Mumbai (All Areas)",2-5 Yrs,Not disclosed,Experience: 2 - 5 Years. Experience in using AI / ML development tools and technologies,"Python, GenAI, NLP, Aiml, Natural language processing, Artificial Intelligence, Development, Ml",https://www.naukri.com/job-listings-ai-ml-development-infogain-noida-pune-mumbai-all-areas-2-to-5-years-250225012184
S&C GN - T&O - Comms Media - Specialist,Accenture,"Mumbai, Pune, Bengaluru",8-13 Yrs,Not disclosed,"Preferred- Bachelors degree /Masters degree / Diploma in Fine Arts, Multimedia, Animati...","adobe after effects, photoshop, adobe suite, graphic designing, illustrator, css, dreamweaver, ux",https://www.naukri.com/job-listings-s-c-gn-t-o-comms-media-specialist-accenture-solutions-pvt-ltd-mumbai-pune-bengaluru-8-to-13-years-240225923872
Automation Test Engineer with Selenium and Java,Capgemini,"Hybrid - Pune, Gurugram, Mumbai (All Areas)",4-9 Yrs,Not disclosed,"Should have thorough technical, analytical and operational knowledge within the QA area...","Automation Testing, Selenium Java, Bdd Cucumber, Selenium, Software testing, Java, Bdd, Automation",https://www.naukri.com/job-listings-automation-test-engineer-with-selenium-and-java-capgemini-pune-gurugram-mumbai-all-areas-4-to-9-years-250225005184
Oracle Fusion SCM Functional Lead,Oracle,"Hybrid - Kolkata, Mumbai, Gandhinagar, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Thiruvananthapuram",8-13 Yrs,18-33 Lacs PA (Including Variable: 15.0%),Bachelor of Engineering or master s degree in business administration (MBA) with 5 to 1...,"Fusion Scm, Scm Cloud, MFG, Order To Cash, Planning, OM, Order fulfillment, Cloud",https://www.naukri.com/job-listings-oracle-fusion-scm-functional-lead-oracle-kolkata-mumbai-gandhinagar-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-thiruvananthapuram-8-to-13-years-270723006137
Devops Engineer,Infogain,"Hybrid - Noida, Pune, Mumbai (All Areas)",3-5 Yrs,Not disclosed,Good knowledge of PowerShell to automate tasks and manage infrastructure . Must have: ....,"Azure Cloud, Devops, Powershell, Microsoft Azure, Cloud",https://www.naukri.com/job-listings-devops-engineer-infogain-noida-pune-mumbai-all-areas-3-to-5-years-250225012554
Site Reliability Engineer,Xoriant,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",6-11 Yrs,Not disclosed,Bachelor’s degree in Computer Science or related field; Proven experience as SRE or Dev...,"Jenkins, Docker, Azure Cloud, Datadog, Kubernetes, Ci/Cd, Cloud, Microsoft Azure",https://www.naukri.com/job-listings-site-reliability-engineer-xoriant-pune-bengaluru-mumbai-all-areas-6-to-11-years-270225006674
GN-Comms & Media -Mobile Private Networks Senior Manager,Accenture,"Mumbai, Pune, Gurugram",8-13 Yrs,Not disclosed,MBA from Tier 1/2 school and Engineering from Tier 1 school with 7-15 years in telecom ...,"Network technologies, database system, Network operations, PLC, Network Analytics, Wireless network technologies, network architecture, SCADA",https://www.naukri.com/job-listings-gn-comms-media-mobile-private-networks-senior-manager-accenture-solutions-pvt-ltd-mumbai-pune-gurugram-8-to-13-years-250225909274
Technical Account Manager,Infogain,"Hybrid - Noida, Pune, Mumbai (All Areas)",11-16 Yrs,Not disclosed,should be comfortable reading logs and source codeExperience: 11 - 16 Years. 6+ years ...,"Technical Account Manager, TAM, Api Integration, Account management, Accounting, API, Management, Integration",https://www.naukri.com/job-listings-technical-account-manager-infogain-noida-pune-mumbai-all-areas-11-to-16-years-250225013143
S&C GN - Strategy - MC - Industry X - Capital Projects - Manager,Accenture,"Mumbai, Pune, Bengaluru",10-16 Yrs,Not disclosed,Experience: 10- 16 years of experience. Educational Qualification: Engineering Degree (...,"Primavera, PERT Master, PMP, Power BI, Ecosys, Tableau, QlikView, Prism",https://www.naukri.com/job-listings-s-c-gn-strategy-mc-industry-x-capital-projects-manager-accenture-solutions-pvt-ltd-mumbai-pune-bengaluru-10-to-16-years-250225910153
S&CGN - Tech Strategy & Advisory - Data on Cloud - Manager,Accenture,"Mumbai, Pune, Bengaluru",10-15 Yrs,Not disclosed,Utilize . strong expertise & certification in any of the AI & Gen AI Cloud platforms - ...,"Technology Strategy, Azure, NLP, Generative AI, Gen AI strategy, Technology Advisory, Machine Learning, AWS",https://www.naukri.com/job-listings-s-cgn-tech-strategy-advisory-data-on-cloud-manager-accenture-solutions-pvt-ltd-mumbai-pune-bengaluru-10-to-15-years-250225909273
Java Tech Lead,Hexaware Technologies,"Mumbai, Pune, Chennai",9-14 Yrs,Not disclosed,Should have minimum 10+ years solid experience in Java development and design patterns4...,"Java, Jenkins, Maven, Mockito, OAuth 2.0, JWT, Eclipse, Junit",https://www.naukri.com/job-listings-java-tech-lead-hexaware-technologies-mumbai-pune-chennai-9-to-14-years-210225921291
Genesys Cloud Consultant,Hexaware Technologies,"Hybrid - Pune, Chennai, Mumbai (All Areas)",5-10 Yrs,Not disclosed,Experience in developing and implementing Genesys Cloud solutions; knowledge of CCaaS p...,"Genesys Cx Contact, CCaaS, Call Flow, Cloud, Calling, Flow, Cx, Consulting",https://www.naukri.com/job-listings-genesys-cloud-consultant-hexaware-technologies-pune-chennai-mumbai-all-areas-5-to-10-years-070225005564
S&C Global Network- Strategy- Production & Operations Consultant,Accenture,"Mumbai, New Delhi, Pune",5-10 Yrs,Not disclosed,S&C Global Network- Strategy- MC- Industry X- Production & Operations ConsultantRequire...,"S4 HANA, LIMS, SAP ECC, ECC, SAP PP, SAP BTP, SAP DMC, SAP Leonardo",https://www.naukri.com/job-listings-s-c-global-network-strategy-production-operations-consultant-accenture-solutions-pvt-ltd-mumbai-new-delhi-pune-5-to-10-years-240225913278
GN - Industry Utilities- Water Solution Architect,Accenture,"Mumbai, Pune, Gurugram",10-16 Yrs,Not disclosed,7-10 years of experience in water architecture with expertise in water domains like SCA...,"presentation skills, workforce management, water, network management, stakeholder management, architectural design, emerging technologies, asset management",https://www.naukri.com/job-listings-gn-industry-utilities-water-solution-architect-accenture-solutions-pvt-ltd-mumbai-pune-gurugram-10-to-16-years-240225923557
